Kernels,PAPI,LLVM PASS,Ratio
2mm,4104960744,4109044800,1
3mm,5400000744,5405185000,1
atax,15960744,15967600,1
bicg,15960744,15968400,1
cholesky,2668667744,16020010000,6
doitgen,1075200744,1081962300,1.01
durbin,8006739,16009991,2
gemm,3961100744,3964704000,1
gemver,40002744,40022000,1
gesummv,6764644,6769100,1
gramschm,2881201944,5764563600,2
lu,5339331744,32020010000,6
ludcmp,5339331744,32036020000,6
mvt,16000744,64016000,4
symm,3004200744,6013211000,2
syr2k,4324321344,8655849600,2
syrk,2162521344,4328646000,2
trisolv,4000744,8006000,2
trmm,1200000744,2401203000,2
adi,16932068757,14955045000,0.88
fdtd-2d,6591203244,6596704000,1
heat-3d,24645480744,24856125000,1.01
jacobi-1d,5994744,5997000,1
jacobi-2d,8424020744,8430515000,1
seidel-2d,17964018744,17973013500,1
